,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
1,ASPA,2.636166374,3.06E-16,15.91834712,3.22E-44,5.16E-40,89.72637947
2,TCF23,2.574120907,-4.72E-17,15.31160579,1.09E-41,8.78E-38,83.96497122
3,ZNF695,-2.519571763,-1.11E-16,-14.79980498,1.43E-39,7.66E-36,79.14652534
4,SKA3,-2.502954249,3.06E-17,-14.64764579,6.06E-39,2.20E-35,77.72230343
5,CLEC4M,2.501499519,-2.52E-16,14.63440586,6.87E-39,2.20E-35,77.59856867
6,FGF10,2.495646694,-1.50E-16,14.5812667,1.13E-38,3.03E-35,77.10226849
7,MYBL2,-2.488073043,-8.83E-17,-14.51280864,2.16E-38,4.96E-35,76.46364971
8,TROAP,-2.483901765,1.40E-16,-14.47525014,3.08E-38,6.18E-35,76.11364704
9,CCNB2,-2.474816276,2.26E-16,-14.39379796,6.64E-38,1.18E-34,75.35551137
10,CDC25C,-2.473261677,-3.91E-17,-14.37990914,7.57E-38,1.21E-34,75.22636316
11,CDC20,-2.467990532,-3.47E-16,-14.33292082,1.18E-37,1.72E-34,74.7897062
12,SPAG5,-2.45619706,-2.69E-16,-14.22836843,3.14E-37,4.20E-34,73.81965353
13,CEP55,-2.439216442,1.50E-16,-14.07920956,1.27E-36,1.57E-33,72.43951257
14,KLF17,2.438083949,-1.31E-16,14.06931871,1.39E-36,1.60E-33,72.34815496
15,KIF4A,-2.435319717,-1.70E-16,-14.04520643,1.75E-36,1.87E-33,72.12552474
16,ZWINT,-2.433982965,-4.30E-16,-14.03356104,1.95E-36,1.95E-33,72.0180455
17,HJURP,-2.429995104,-1.57E-16,-13.99887806,2.69E-36,2.52E-33,71.69811281
18,NCAPG,-2.429389169,2.34E-16,-13.99361575,2.82E-36,2.52E-33,71.64959277
19,TPX2,-2.427751613,-4.00E-17,-13.97940421,3.23E-36,2.72E-33,71.51858751
20,CDCA2,-2.426899349,6.74E-17,-13.97201359,3.46E-36,2.77E-33,71.45047601
21,MYOZ2,2.425479265,-5.59E-17,13.95970771,3.88E-36,2.93E-33,71.33709152
22,SPC25,-2.425027446,1.81E-16,-13.95579473,4.02E-36,2.93E-33,71.30104461
23,FOXM1,-2.423120876,-2.67E-16,-13.93929497,4.69E-36,3.27E-33,71.14908269
24,ASF1B,-2.413565244,3.25E-16,-13.85689321,1.01E-35,6.75E-33,70.39104356
25,RAD54L,-2.41228565,-5.55E-17,-13.84589582,1.12E-35,7.17E-33,70.28998665
26,PPP1R12B,2.407954947,3.78E-16,13.8087402,1.58E-35,9.74E-33,69.94875375
27,TUBA1C,-2.407074551,8.14E-16,-13.80119888,1.69E-35,1.01E-32,69.87953237
28,MELK,-2.404347239,-3.49E-16,-13.77786312,2.10E-35,1.20E-32,69.66541431
29,UBE2C,-2.402976813,-3.71E-16,-13.76615206,2.35E-35,1.30E-32,69.55800468
30,CENPA,-2.400810265,2.42E-16,-13.74765774,2.78E-35,1.49E-32,69.38844398
31,EXO1,-2.400113414,-1.39E-16,-13.74171442,2.94E-35,1.52E-32,69.33397029
32,CDC6,-2.396719939,-1.02E-17,-13.71280821,3.85E-35,1.93E-32,69.06914308
33,POC1A,-2.395635519,-3.26E-18,-13.70358354,4.19E-35,1.99E-32,68.98467006
34,SKA1,-2.395577626,1.34E-16,-13.70309124,4.21E-35,1.99E-32,68.98016247
35,AURKB,-2.394839331,1.49E-16,-13.69681462,4.46E-35,2.01E-32,68.92269727
36,PKMYT1,-2.394689545,1.68E-16,-13.69554155,4.51E-35,2.01E-32,68.91104291
37,CDC45,-2.386994018,8.62E-17,-13.63029123,8.26E-35,3.58E-32,68.31419962
38,KIF18B,-2.384527174,2.77E-17,-13.60943919,1.00E-34,4.23E-32,68.12367285
39,BUB1,-2.381664845,2.51E-16,-13.58528304,1.25E-34,5.15E-32,67.90308221
40,PLK1,-2.379815924,2.61E-16,-13.56970151,1.45E-34,5.80E-32,67.76086595
41,CAMK2A,2.378684708,3.88E-16,13.56017689,1.58E-34,6.18E-32,67.67396046
42,MKI67,-2.376500667,2.43E-16,-13.54180598,1.87E-34,7.14E-32,67.50639897
43,SLITRK3,2.375796053,2.23E-16,13.5358843,1.98E-34,7.37E-32,67.45240415
44,IQGAP3,-2.373637812,-1.47E-16,-13.51776168,2.34E-34,8.51E-32,67.2872106
45,MCM10,-2.372087845,-1.32E-16,-13.50476114,2.63E-34,9.38E-32,67.16875436
46,RRM2,-2.365268987,2.55E-16,-13.44770975,4.45E-34,1.55E-31,66.64939906
47,TK1,-2.364743502,3.07E-16,-13.44332277,4.64E-34,1.58E-31,66.60949548
48,NEK2,-2.362021869,4.08E-16,-13.42062329,5.71E-34,1.91E-31,66.40309704
49,BIRC5,-2.36134358,2.59E-16,-13.4149718,6.02E-34,1.97E-31,66.35172941
50,ESPL1,-2.35983781,-3.69E-17,-13.40243387,6.75E-34,2.17E-31,66.23779701
51,UHRF1,-2.359122359,2.73E-16,-13.39648051,7.13E-34,2.24E-31,66.18371217
52,CSRP1,2.356658844,3.36E-16,13.37600055,8.61E-34,2.66E-31,65.99772255
53,SPARCL1,2.35577037,-1.25E-16,13.36862169,9.22E-34,2.74E-31,65.93073631
54,KIF2C,-2.355742282,3.60E-16,-13.36838849,9.24E-34,2.74E-31,65.92861948
55,NCAPH,-2.352000147,2.45E-16,-13.33735261,1.23E-33,3.58E-31,65.64701988
56,PGM5P2,2.350375867,3.27E-16,13.32390269,1.39E-33,3.98E-31,65.52505773
57,TTK,-2.349214896,-7.05E-17,-13.31429708,1.52E-33,4.27E-31,65.43798269
58,CDCA5,-2.343854019,-3.69E-17,-13.27002704,2.28E-33,6.30E-31,65.03697098
59,ZBTB16,2.342290318,-4.39E-17,13.25714013,2.56E-33,6.97E-31,64.92032955
60,POLQ,-2.33773203,1.33E-16,-13.21964095,3.61E-33,9.66E-31,64.58115654
61,CNRIP1,2.336091876,-7.17E-17,13.20617237,4.09E-33,1.07E-30,64.45942274
62,CBX7,2.333027414,-3.86E-17,13.181042,5.14E-33,1.33E-30,64.23240902
63,PBK,-2.330547068,2.44E-16,-13.16073435,6.19E-33,1.58E-30,64.04907902
64,GTSE1,-2.329009977,-4.61E-17,-13.14816413,6.94E-33,1.74E-30,63.9356528
65,PTTG1,-2.328582902,-4.94E-16,-13.14467352,7.17E-33,1.77E-30,63.90416288
66,KLHL33,2.327439791,-4.13E-16,13.13533477,7.81E-33,1.90E-30,63.81993027
67,AURKA,-2.326556501,3.49E-16,-13.12812286,8.34E-33,2.00E-30,63.75489658
68,LMOD1,2.325300868,7.41E-18,13.11787715,9.15E-33,2.16E-30,63.66252859
69,TACC3,-2.324452144,-4.71E-16,-13.11095592,9.75E-33,2.27E-30,63.60014721
70,CDCA8,-2.322955249,3.84E-16,-13.09875718,1.09E-32,2.50E-30,63.49022953
71,KANK2,2.319902403,4.46E-16,13.07391088,1.37E-32,3.09E-30,63.26647029
72,DLGAP5,-2.318611719,-1.74E-17,-13.06341942,1.50E-32,3.35E-30,63.17203538
73,EME1,-2.317735673,-8.70E-17,-13.0563028,1.60E-32,3.53E-30,63.10799433
74,E2F2,-2.317295877,2.45E-16,-13.05273142,1.66E-32,3.59E-30,63.07586128
75,CCNB1,-2.315828862,-4.65E-16,-13.040825,1.85E-32,3.95E-30,62.96875868
76,NDN,2.314233974,-4.48E-17,13.02789204,2.08E-32,4.34E-30,62.85246454
77,UBE2T,-2.314209887,-1.41E-16,-13.02769681,2.08E-32,4.34E-30,62.85070932
78,OMD,2.312295369,6.81E-17,13.01218771,2.40E-32,4.93E-30,62.71130951
79,KLHL4,2.308871166,-5.79E-16,12.98449107,3.08E-32,6.26E-30,62.46252391
80,DIXDC1,2.305713974,2.05E-16,12.95900182,3.89E-32,7.79E-30,62.23374726
81,FBXL22,2.304647873,-7.07E-17,12.95040506,4.20E-32,8.27E-30,62.15662713
82,SHCBP1,-2.304561285,1.87E-16,-12.94970706,4.23E-32,8.27E-30,62.15036639
83,SYNPO2,2.303642088,1.99E-16,12.94229942,4.53E-32,8.68E-30,62.08393097
84,MYLK,2.303570683,-6.49E-16,12.94172414,4.55E-32,8.68E-30,62.07877217
85,NPAS4,2.300957038,-7.46E-17,12.9206831,5.51E-32,1.04E-29,61.8901498
86,KCNB1,2.300763437,-2.84E-17,12.91912576,5.58E-32,1.04E-29,61.87619373
87,KIF11,-2.300406401,-4.73E-16,-12.91625418,5.73E-32,1.06E-29,61.85046196
88,CKS2,-2.295855298,1.57E-16,-12.87970095,7.98E-32,1.45E-29,61.52311011
89,FHL1,2.293019924,-3.55E-16,12.85697522,9.81E-32,1.77E-29,61.31977413
90,TCEAL1,2.291991054,-7.46E-16,12.84873768,1.06E-31,1.88E-29,61.24610463
91,MYOCD,2.291792749,2.09E-16,12.84715052,1.07E-31,1.89E-29,61.23191256
92,CACNB2,2.2906636,-9.98E-17,12.83811657,1.16E-31,2.03E-29,61.15114607
93,TNS1,2.288927992,-2.11E-16,12.82424166,1.32E-31,2.27E-29,61.02714373
94,MND1,-2.287071085,1.54E-16,-12.80941194,1.51E-31,2.57E-29,60.89466691
95,FANCA,-2.2867954,5.46E-16,-12.80721156,1.54E-31,2.60E-29,60.87501566
96,OGN,2.285861951,5.81E-16,12.79976374,1.65E-31,2.75E-29,60.80851046
97,TOP2A,-2.285160112,4.17E-16,-12.79416645,1.73E-31,2.86E-29,60.7585396
98,NUF2,-2.2835083,-1.08E-16,-12.78100159,1.95E-31,3.19E-29,60.64104234
99,SEL1L2,2.283199862,7.18E-17,12.77854469,1.99E-31,3.23E-29,60.61911972
100,GPRASP1,2.278199836,2.25E-16,12.73877509,2.85E-31,4.58E-29,60.26449516
101,CDK1,-2.277748007,-2.92E-16,-12.73518673,2.95E-31,4.68E-29,60.23251964
102,EZH2,-2.277094454,6.42E-16,-12.72999789,3.09E-31,4.86E-29,60.18628893
103,KIFC1,-2.275794861,1.21E-16,-12.71968542,3.39E-31,5.28E-29,60.09443104
104,CENPF,-2.275368606,3.63E-16,-12.71630464,3.50E-31,5.39E-29,60.06432344
105,CACNA1H,2.27481668,-1.24E-16,12.71192829,3.64E-31,5.55E-29,60.02535459
106,RAD51,-2.273690715,2.43E-16,-12.7030044,3.94E-31,5.96E-29,59.94590925
107,IRS4,2.272595945,1.24E-16,12.69433306,4.26E-31,6.39E-29,59.86873401
108,LOC283856,2.271586299,-2.31E-16,12.6863406,4.58E-31,6.80E-29,59.79761971
109,DPP3,-2.269546574,3.34E-16,-12.67020748,5.30E-31,7.79E-29,59.6541279
110,BUB1B,-2.267853197,3.26E-16,-12.65682752,5.97E-31,8.71E-29,59.53517982
111,CDCA3,-2.262724422,5.43E-16,-12.61637905,8.60E-31,1.24E-28,59.17590476
112,PDE2A,2.26063591,-7.22E-17,12.59994034,9.96E-31,1.42E-28,59.03002633
113,CCNA2,-2.26053968,-1.45E-16,-12.59918336,1.00E-30,1.42E-28,59.02331073
114,TBC1D7,-2.259924564,-3.61E-16,-12.59434561,1.05E-30,1.47E-28,58.98039606
115,MRGPRF,2.257348917,-1.39E-16,12.5741063,1.26E-30,1.75E-28,58.80093137
116,RASL12,2.256936503,-1.71E-16,12.5708682,1.29E-30,1.79E-28,58.7722298
117,TGFB1I1,2.256254773,4.14E-16,12.56551715,1.36E-30,1.86E-28,58.72480633
118,NKAPL,2.254341095,-1.75E-16,12.55050687,1.55E-30,2.11E-28,58.59182293
119,KCTD8,2.252510207,1.14E-16,12.53616056,1.77E-30,2.38E-28,58.46478372
120,ERCC6L,-2.251608154,8.13E-17,-12.52909757,1.88E-30,2.51E-28,58.40226184
121,BAIAP2L1,-2.251453824,2.06E-16,-12.52788953,1.90E-30,2.52E-28,58.39156969
122,ADH1B,2.250320999,1.20E-16,12.51902525,2.06E-30,2.71E-28,58.31312665
123,HMGB3,-2.249024264,-1.53E-16,-12.50888506,2.25E-30,2.94E-28,58.22342099
124,DEPDC1,-2.247634267,2.11E-16,-12.49802347,2.49E-30,3.21E-28,58.12736727
125,CDT1,-2.246526857,1.21E-17,-12.48937588,2.69E-30,3.44E-28,58.05091783
126,NUSAP1,-2.245913652,-6.72E-17,-12.48458969,2.80E-30,3.57E-28,58.00861483
127,KIF14,-2.245303022,-8.46E-17,-12.47982516,2.92E-30,3.69E-28,57.96651008
128,ABCC9,2.243834163,-2.48E-16,12.46837061,3.24E-30,4.06E-28,57.86531224
129,MAMDC2,2.242052005,-2.34E-16,12.45448503,3.67E-30,4.56E-28,57.74268948
130,HPSE2,2.241799013,2.21E-16,12.45251494,3.73E-30,4.61E-28,57.72529633
131,FANCI,-2.239733824,-7.51E-16,-12.43644296,4.31E-30,5.28E-28,57.58344696
132,PRLHR,2.23944633,-3.93E-16,12.434207,4.40E-30,5.34E-28,57.56371879
133,FAM72B,-2.235672135,1.73E-16,-12.40488547,5.71E-30,6.89E-28,57.30515004
134,ECE2,-2.235222047,7.02E-16,-12.40139272,5.89E-30,7.05E-28,57.27436683
135,PRAME,-2.234444253,-2.17E-17,-12.39535889,6.22E-30,7.39E-28,57.22119668
136,ZCCHC24,2.233634339,-3.60E-16,12.38907855,6.58E-30,7.76E-28,57.165866
137,ADRB3,2.232740837,1.35E-16,12.38215319,7.00E-30,8.19E-28,57.10486643
138,KIF20A,-2.232178447,-7.82E-17,-12.37779592,7.28E-30,8.45E-28,57.06649438
139,TSHZ3,2.23177018,4.18E-17,12.37463357,7.48E-30,8.62E-28,57.03864895
140,DIAPH3,-2.231685264,-9.98E-17,-12.37397592,7.53E-30,8.62E-28,57.03285849
141,BLM,-2.231463805,3.93E-16,-12.37226091,7.64E-30,8.65E-28,57.017759
142,CDC25A,-2.231437333,5.13E-16,-12.37205592,7.66E-30,8.65E-28,57.01595426
143,RERG,2.230507355,-8.69E-17,12.36485636,8.17E-30,9.16E-28,56.95257698
144,TRAF4,-2.227584395,-1.56E-16,-12.34225105,9.99E-30,1.11E-27,56.75368645
145,FLAD1,-2.225116446,-9.16E-16,-12.323192,1.18E-29,1.30E-27,56.58611867
146,MEF2C,2.225087574,-2.02E-16,12.32296918,1.19E-29,1.30E-27,56.58416029
147,PLCL1,2.222544438,3.18E-16,12.30335587,1.41E-29,1.54E-27,56.41183724
148,NUDT5,-2.218369471,-4.45E-16,-12.27121465,1.88E-29,2.04E-27,56.12970011
149,JPH4,2.217468552,5.35E-17,12.26428816,2.00E-29,2.15E-27,56.06894099
150,DEPDC1B,-2.217095767,-2.04E-16,-12.26142306,2.05E-29,2.19E-27,56.04381269
151,SMTN,2.216147477,4.59E-16,12.25413737,2.19E-29,2.32E-27,55.97992515
152,TCEAL4,2.215203072,6.98E-16,12.24688513,2.33E-29,2.46E-27,55.91634742
153,ARHGAP20,2.213262907,-9.49E-17,12.2319976,2.66E-29,2.79E-27,55.78588523
154,TACC1,2.211701751,-2.32E-17,12.22002935,2.96E-29,3.08E-27,55.68105544
155,HSPB7,2.211214425,-8.52E-17,12.21629538,3.06E-29,3.16E-27,55.64835879
156,LGI4,2.21043921,-2.62E-17,12.21035753,3.22E-29,3.30E-27,55.59637282
157,ASPM,-2.210416787,2.74E-16,-12.21018582,3.23E-29,3.30E-27,55.59486959
158,CD300LG,2.209769106,-1.26E-16,12.20522674,3.37E-29,3.42E-27,55.55146157
159,MYCT1,2.209456287,1.46E-16,12.20283219,3.45E-29,3.48E-27,55.53050425
160,NUP210,-2.207772496,1.50E-16,-12.18994994,3.86E-29,3.87E-27,55.4177885
161,CENPN,-2.204650636,2.83E-17,-12.1660954,4.77E-29,4.75E-27,55.20920669
162,ARHGAP6,2.204513303,-5.41E-17,12.16504691,4.82E-29,4.77E-27,55.20004292
163,KLF2,2.203374605,-1.32E-16,12.15635626,5.20E-29,5.12E-27,55.12410039
164,TBC1D2B,2.203289651,-8.27E-16,12.15570809,5.23E-29,5.12E-27,55.11843737
165,CCNF,-2.200386547,-5.68E-16,-12.13357564,6.36E-29,6.18E-27,54.9251476
166,PTGFR,2.200017619,-7.43E-16,12.13076544,6.52E-29,6.30E-27,54.9006163
167,MYH11,2.193028514,-2.17E-16,12.07762935,1.04E-28,1.00E-26,54.43724825
168,FAM136A,-2.192045958,8.80E-17,-12.07017468,1.11E-28,1.06E-26,54.37231304
169,CFL2,2.188559325,2.38E-16,12.04375203,1.41E-28,1.33E-26,54.14229859
170,SLC25A10,-2.188444346,9.13E-17,-12.04288149,1.42E-28,1.34E-26,54.13472424
171,DTL,-2.183281183,7.09E-16,-12.00384299,2.00E-28,1.87E-26,53.79531217
172,BNC2,2.182863138,-8.16E-17,12.00068669,2.05E-28,1.92E-26,53.76789212
173,CIT,-2.181681151,6.01E-16,-11.99176619,2.22E-28,2.06E-26,53.69041373
174,LDB2,2.18118372,-3.37E-16,11.98801368,2.30E-28,2.12E-26,53.65782926
175,FGF7,2.179965566,1.11E-16,11.97882822,2.49E-28,2.28E-26,53.57808809
176,RECQL4,-2.178254713,3.21E-16,-11.96593723,2.79E-28,2.54E-26,53.46622509
177,STAT5B,2.176934658,-4.82E-16,11.95599854,3.04E-28,2.76E-26,53.38001837
178,CAV1,2.174339066,-1.04E-16,11.93647585,3.61E-28,3.25E-26,53.21077636
179,RCC2,-2.17394579,-6.23E-16,-11.93352009,3.71E-28,3.32E-26,53.18516388
